iter	PRAUC	Logloss
0	0.2522423059	0.4958944093
1	0.1485558417	0.4114761115
2	0.1504491487	0.3686867595
3	0.1516294479	0.348205557
4	0.151579554	0.338471144
5	0.1520027887	0.3333927244
6	0.1526904484	0.3303664079
7	0.1529818707	0.3291590263
8	0.1533037897	0.3280878663
9	0.1535786254	0.3274010636
10	0.153702596	0.3270420396
11	0.1540036305	0.3266084321
12	0.1541366185	0.3264135898
13	0.1544190462	0.3262530074
14	0.1546336419	0.3261689476
15	0.1547765831	0.3261478775
16	0.1549205834	0.326005381
17	0.154986166	0.325885814
18	0.1550723357	0.3258253655
19	0.1551276374	0.3258125716
20	0.1551857543	0.3257909877
21	0.1552241994	0.3257616332
22	0.1553861273	0.3256817285
23	0.1554096814	0.3256685349
24	0.1554713261	0.3256091088
25	0.1555039809	0.325584707
26	0.1555860109	0.3255741735
27	0.1556873315	0.3255423246
28	0.1556922844	0.3255024116
29	0.1557455358	0.3254683787
30	0.1557606485	0.3254317921
31	0.1557967899	0.325417457
32	0.1558462621	0.3254019834
33	0.1558995677	0.3253760337
34	0.1559264556	0.3253635322
35	0.156016867	0.325331728
36	0.1560582317	0.3253264838
37	0.1561499664	0.325322149
38	0.1561785974	0.3253138533
39	0.1562462332	0.3253114844
40	0.1562709293	0.3252892637
41	0.1562870503	0.3252862007
42	0.1563027487	0.3252745708
43	0.1563615809	0.3252727564
44	0.1563997432	0.3252640121
45	0.1564640888	0.3252498263
