iter	Passed	Remaining
0	404	80433
1	819	81123
2	1278	83967
3	1745	85514
4	2237	87249
5	2740	88608
6	3244	89451
7	3754	90112
8	4281	90854
9	4817	91524
10	5364	92180
11	5911	92615
12	6481	93236
13	7040	93544
14	7638	94208
15	8230	94655
16	8800	94735
17	9369	94733
18	9949	94784
19	10542	94885
20	11155	95091
21	11760	95151
22	12392	95368
23	13022	95498
24	13657	95603
25	14288	95619
26	14919	95593
27	15584	95734
28	16253	95841
29	16933	95954
30	17653	96237
31	18331	96242
32	19034	96327
33	19718	96273
34	20433	96329
35	21143	96319
36	21855	96282
37	22574	96236
38	23270	96065
39	23981	95924
40	24681	95715
41	25400	95555
42	26137	95433
43	26837	95149
44	27546	94883
45	28269	94642
46	29011	94440
47	29713	94094
48	30426	93764
49	31116	93349
50	31808	92929
51	32518	92552
52	33227	92160
53	33925	91725
54	34654	91362
55	35349	90898
56	36065	90479
57	36776	90038
58	37496	89610
59	38200	89133
60	38890	88619
61	39602	88146
62	40312	87664
63	41020	87167
64	41716	86642
65	42400	86085
66	43093	85543
67	43812	85048
68	44529	84540
69	45244	84025
70	45933	83456
71	46615	82871
72	47331	82344
73	48024	81771
74	48719	81199
75	49397	80595
76	50101	80033
77	50801	79458
78	51506	78889
79	52187	78280
80	52896	77712
81	53595	77125
82	54304	76549
83	54995	75945
84	55696	75354
85	56397	74759
86	57134	74209
87	57841	73616
88	58534	73004
89	59245	72410
90	59950	71809
91	60662	71212
92	61359	70596
93	62064	69987
94	62794	69403
95	63512	68805
96	64220	68192
97	64913	67563
98	65630	66956
99	66346	66346
100	67086	65758
101	67809	65149
102	68506	64515
103	69217	63893
104	69914	63255
105	70621	62626
106	71332	61999
107	72027	61356
108	72743	60731
109	73471	60112
110	74177	59475
111	74880	58834
112	75597	58203
113	76317	57573
114	77018	56926
115	77739	56294
116	78447	55650
117	79170	55016
118	79859	54358
119	80569	53712
120	81286	53071
121	82006	52430
122	82712	51779
123	83423	51130
124	84136	50481
125	84839	49826
126	85521	49158
127	86248	48514
128	86964	47864
129	87693	47219
130	88412	46568
131	89090	45895
132	89795	45235
133	90502	44575
134	91205	43913
135	91909	43251
136	92645	42603
137	93348	41939
138	94042	41270
139	94735	40601
140	95438	39935
141	96159	39276
142	96857	38607
143	97553	37937
144	98242	37264
145	98942	36595
146	99665	35933
147	100376	35267
148	101075	34596
149	101782	33927
150	102491	33258
151	103193	32587
152	103883	31911
153	104589	31240
154	105298	30570
155	106003	29898
156	106718	29228
157	107407	28551
158	108111	27877
159	108846	27211
160	109552	26537
161	110237	25858
162	110944	25183
163	111647	24507
164	112378	23837
165	113084	23161
166	113792	22485
167	114503	21810
168	115220	21135
169	115922	20456
170	116605	19775
171	117307	19096
172	118024	18420
173	118738	17742
174	119440	17062
175	120147	16383
176	120844	15703
177	121563	15024
178	122271	14344
179	122977	13664
180	123675	12982
181	124358	12299
182	125070	11618
183	125784	10937
184	126494	10256
185	127187	9573
186	127910	8892
187	128614	8209
188	129321	7526
189	130025	6843
190	130721	6159
191	131425	5476
192	132120	4791
193	132838	4108
194	133528	3423
195	134215	2739
196	134937	2054
197	135625	1369
198	136332	685
199	137035	0
