iter	PrecisionAt:top=5	Logloss
0	0.07232142857	0.6622908337
1	0.11875	0.6354979012
2	0.1303571429	0.6110824134
3	0.1580357143	0.5886269012
4	0.1669642857	0.5681792093
5	0.16875	0.5486989225
6	0.1839285714	0.522759655
7	0.1910714286	0.507777156
8	0.1901785714	0.4939936144
9	0.1839285714	0.4810574786
10	0.1919642857	0.4678433829
11	0.2044642857	0.4571649876
12	0.2080357143	0.4460660683
13	0.20625	0.4297504138
14	0.20625	0.4217752457
15	0.20625	0.4148476302
16	0.20625	0.4083988033
17	0.2071428571	0.4026454845
18	0.20625	0.3968596819
19	0.2142857143	0.392016602
20	0.2169642857	0.3875299777
21	0.21875	0.3827064782
22	0.2142857143	0.3783840827
23	0.2133928571	0.3749663094
24	0.2098214286	0.3718490465
25	0.2107142857	0.3689738016
26	0.2214285714	0.365427653
27	0.2214285714	0.3622950773
28	0.2205357143	0.3599902269
29	0.2205357143	0.3580187406
30	0.2205357143	0.3531381276
31	0.2258928571	0.3513146967
32	0.2276785714	0.3490484654
33	0.2285714286	0.3471807958
34	0.2276785714	0.3458447895
35	0.2330357143	0.3445227788
36	0.2303571429	0.342904507
37	0.2419642857	0.3417011581
38	0.2419642857	0.3383423864
39	0.2321428571	0.3373280828
40	0.2321428571	0.3363497717
41	0.2321428571	0.3353029679
42	0.23125	0.334506248
43	0.2285714286	0.3336939141
44	0.23125	0.3327777247
45	0.2383928571	0.3317848943
46	0.2366071429	0.3313161621
47	0.2383928571	0.3307720846
48	0.2357142857	0.3302885807
49	0.2357142857	0.3296112702
50	0.2375	0.3289551821
51	0.2330357143	0.3285535068
52	0.2330357143	0.3278218151
53	0.2348214286	0.3272607797
54	0.2401785714	0.325684102
55	0.2428571429	0.3242658497
56	0.2428571429	0.3238996168
57	0.2464285714	0.3236088796
58	0.2473214286	0.3231615596
59	0.2473214286	0.322885256
60	0.2517857143	0.3216826536
61	0.2455357143	0.3214137817
62	0.2464285714	0.3211496483
63	0.2464285714	0.3208713693
64	0.2517857143	0.3206840252
65	0.2517857143	0.3204423291
66	0.25	0.3201421697
67	0.2508928571	0.3199500288
68	0.25	0.3196775993
69	0.2464285714	0.3194692237
70	0.2553571429	0.31929961
71	0.2553571429	0.3190885979
72	0.2607142857	0.3181735728
73	0.2598214286	0.3179708852
74	0.2589285714	0.3178245276
75	0.2580357143	0.3176078364
76	0.2526785714	0.3168713026
77	0.2589285714	0.3166643521
78	0.2607142857	0.3165248283
79	0.2616071429	0.3163914033
80	0.2625	0.3162898218
81	0.2696428571	0.3160537871
82	0.2741071429	0.3159187533
83	0.2741071429	0.3158199325
84	0.2767857143	0.3156878303
85	0.2776785714	0.3154853542
86	0.2767857143	0.315351149
87	0.2767857143	0.3152161248
88	0.2776785714	0.3150436679
89	0.2785714286	0.3149171927
90	0.2776785714	0.314806478
91	0.2776785714	0.3146840295
92	0.2785714286	0.3145628442
93	0.2758928571	0.3144300146
94	0.2830357143	0.3138773852
95	0.2839285714	0.3137828633
96	0.2830357143	0.3135783213
97	0.2866071429	0.3134105629
98	0.2866071429	0.3132529048
99	0.2848214286	0.3126756688
100	0.2830357143	0.3125212851
101	0.2803571429	0.3123962199
102	0.2821428571	0.312314383
103	0.2803571429	0.3121299425
104	0.2848214286	0.3119879312
105	0.2857142857	0.3115276761
106	0.2892857143	0.3114102413
107	0.2866071429	0.3112683231
108	0.2875	0.3110960652
109	0.2892857143	0.3110341103
110	0.2910714286	0.3108674439
111	0.2892857143	0.3107829993
112	0.2910714286	0.3106553225
113	0.2955357143	0.3105151841
114	0.2955357143	0.3100938285
115	0.2973214286	0.3097969434
116	0.2946428571	0.3097220758
117	0.2910714286	0.3096250685
118	0.2919642857	0.3095198743
119	0.2910714286	0.3094239059
120	0.2973214286	0.3092423549
121	0.2964285714	0.309142857
122	0.2991071429	0.3090556989
123	0.3	0.309019417
124	0.3017857143	0.3089691021
