iter	Passed	Remaining
0	151	151294
1	278	139095
2	409	136147
3	490	122133
4	624	124363
5	766	126936
6	900	127753
7	1058	131302
8	1189	131030
9	1327	131434
10	1419	127627
11	1550	127680
12	1680	127552
13	1814	127770
14	1953	128269
15	2085	128236
16	2223	128560
17	2352	128365
18	2408	124336
19	2533	124117
20	2660	124030
21	2718	120860
22	2871	121968
23	3007	122300
24	3149	122838
25	3279	122861
26	3404	122692
27	3531	122602
28	3667	122788
29	3804	123018
30	3941	123209
31	4078	123375
32	4211	123407
33	4338	123273
34	4488	123755
35	4623	123812
36	4764	124004
37	4907	124246
38	5030	123953
39	5141	123387
40	5289	123720
41	5412	123462
42	5525	122973
43	5649	122753
44	5789	122856
45	5935	123106
46	6064	122972
47	6176	122495
48	6305	122376
49	6453	122624
50	6580	122452
51	6706	122270
52	6790	121324
53	6926	121337
54	7059	121288
55	7207	121497
56	7357	121727
57	7485	121582
58	7613	121426
59	7754	121480
60	7898	121580
61	8014	121256
62	8130	120920
63	8267	120915
64	8401	120856
65	8528	120692
66	8670	120736
67	8820	120892
68	8961	120916
69	9099	120889
70	9231	120794
71	9387	121000
72	9516	120847
73	9640	120632
74	9775	120568
75	9925	120667
76	10058	120567
77	10190	120457
78	10322	120339
79	10454	120229
80	10585	120095
81	10734	120172
82	10868	120076
83	10992	119870
84	11134	119862
85	11276	119847
86	11414	119790
87	11544	119638
88	11685	119608
89	11758	118891
90	11893	118804
91	12018	118616
92	12138	118380
93	12279	118356
94	12414	118260
95	12569	118365
96	12700	118232
97	12859	118364
98	12993	118249
99	13135	118215
100	13272	118136
101	13426	118203
102	13545	117962
103	13618	117325
104	13763	117315
105	13890	117153
106	14021	117016
107	14161	116965
108	14299	116887
109	14453	116944
110	14589	116850
111	14708	116620
112	14864	116682
113	14938	116100
114	15060	115902
115	15192	115778
116	15323	115647
117	15453	115507
118	15621	115651
119	15753	115525
120	15900	115508
121	16036	115410
122	16162	115238
123	16292	115098
124	16417	114923
125	16552	114813
126	16689	114724
127	16829	114651
128	16971	114593
129	17133	114661
130	17282	114647
131	17409	114479
132	17548	114395
133	17713	114473
134	17831	114254
135	17972	114177
136	18117	114126
137	18240	113940
138	18382	113862
139	18514	113732
140	18647	113602
141	18766	113390
142	18900	113271
143	19043	113204
144	19181	113105
145	19322	113024
146	19455	112894
147	19590	112779
148	19759	112853
149	19912	112835
150	20053	112753
151	20184	112610
152	20312	112450
153	20447	112327
154	20590	112250
155	20732	112167
156	20866	112038
157	20993	111874
158	21119	111708
159	21249	111559
160	21377	111402
161	21509	111265
162	21640	111121
163	21820	111233
164	21961	111138
165	22095	111009
166	22220	110835
167	22351	110695
168	22490	110587
169	22624	110462
170	22752	110304
171	22896	110225
172	23049	110186
173	23184	110060
174	23314	109910
175	23478	109921
176	23604	109752
177	23734	109607
178	23898	109614
179	24049	109559
180	24193	109473
181	24326	109335
182	24462	109213
183	24598	109090
184	24737	108980
185	24874	108859
186	25003	108703
187	25129	108540
188	25238	108299
189	25371	108161
190	25514	108070
191	25652	107953
192	25783	107810
193	25926	107716
194	26064	107599
195	26197	107464
196	26328	107320
197	26478	107252
198	26608	107102
199	26762	107048
200	26929	107046
201	27067	106928
202	27208	106821
203	27342	106688
204	27472	106539
205	27609	106418
206	27745	106290
207	27890	106199
208	28028	106080
