iter	PRAUC	Logloss	Recall
0	0.1648461405	0.6071969529	0
1	0.1676153935	0.5415920598	0
2	0.1706376252	0.4924929645	0
3	0.1710139069	0.454836368	0
4	0.1728205861	0.426696855	0
5	0.1732134031	0.40353903	0
6	0.1732668206	0.3867869279	0
7	0.1737610409	0.3724034261	0
8	0.1743152287	0.3622906286	0
9	0.1749139567	0.3536743235	0
10	0.1754454687	0.3474510344	0
11	0.1759616773	0.3417034612	0
12	0.1762839104	0.3377375729	0
13	0.1763304184	0.3341644568	0
14	0.1771116253	0.3311464898	0
15	0.1774672853	0.3283427711	0
16	0.1777331871	0.326367267	0
17	0.1779759556	0.3248008688	0
18	0.1780722232	0.323830941	0
19	0.1783945856	0.3227899936	0
20	0.178754178	0.3216760665	0
21	0.1790429382	0.3208104228	0
22	0.1793057296	0.3201926701	0
23	0.1795137991	0.3197108666	0
24	0.1797783429	0.3192635616	0
25	0.1799466877	0.3188753915	0
26	0.180330056	0.3183716476	0
27	0.1806552058	0.3181509196	0
28	0.1809972707	0.3178694283	0
29	0.181184018	0.3175567754	0
30	0.1814578997	0.3172559681	0
31	0.1816988365	0.3169895078	0
32	0.1819581791	0.3168613856	0
33	0.1821720331	0.3166251675	0
34	0.1824105909	0.3164685869	0
35	0.182671454	0.3163448171	0
36	0.1829004793	0.316260163	0
37	0.1830617413	0.3161136165	0
38	0.1831931409	0.3159558147	0
39	0.1833895469	0.3158580125	0
40	0.1835488162	0.3157233901	0
41	0.1837128707	0.3155920227	0
42	0.1839477274	0.3154596474	0
43	0.1840809277	0.3154053171	0
44	0.184386924	0.3153289616	0
45	0.1846073849	0.3152703496	0
46	0.1848221212	0.3151934593	0
47	0.184948962	0.3151252285	0
48	0.1850927327	0.3150430796	0
49	0.1852219883	0.3149305798	0
50	0.1853786297	0.3148672672	0
51	0.1856036644	0.3147971167	0
52	0.1856785268	0.3147675421	0
53	0.1859635893	0.3147298136	0
54	0.186073103	0.3146431594	0
55	0.1862672537	0.3145153907	0
56	0.1863789326	0.3144873697	0
57	0.1865412474	0.314365301	0
58	0.1866551838	0.3142466441	0
59	0.1867727148	0.3142015972	0
60	0.1870084177	0.3141627551	0
61	0.1871300539	0.3140903989	0
62	0.1872442582	0.3140546278	0
63	0.1874103425	0.3140137254	0
64	0.1875154544	0.3139789238	0
65	0.1876175651	0.313938357	0
66	0.1877693823	0.3138727288	0
67	0.1878561757	0.3138286108	0
68	0.1880642437	0.3137427177	0
69	0.1881930344	0.313696314	0
70	0.1884036899	0.3136542612	0
71	0.1885610965	0.313618211	0
72	0.1886764135	0.3135821485	0
73	0.1888256874	0.3135040555	0
74	0.1889751375	0.3134816598	0
75	0.1891567642	0.31337807	0
76	0.1892813128	0.3133242487	0
77	0.1894794347	0.3132965841	0
78	0.1896172952	0.3132435756	0
79	0.1896957259	0.3132148284	0
80	0.1898071373	0.3131866243	0
81	0.1899648872	0.3131541696	0
82	0.190039071	0.3131162328	0
83	0.1901283694	0.3130871459	0
84	0.1902587368	0.3130738904	0
85	0.1904598644	0.3130514564	0
86	0.1905748194	0.313025651	0
87	0.1906803016	0.3130089006	0
88	0.1908475018	0.312998891	0
89	0.1910108635	0.3129492744	0
90	0.1911630571	0.3129205062	0
91	0.1912659963	0.3128811376	0
92	0.1913701937	0.3128432138	0
93	0.1914806826	0.3128163685	0
94	0.1915655848	0.3128014461	0
95	0.1916308356	0.3127826696	0
96	0.1917205066	0.3127590755	0
97	0.1918424486	0.3127345648	0
98	0.1919406728	0.3127190273	0
99	0.1920101262	0.3126848439	0
100	0.1921217162	0.312658893	0
101	0.1921943603	0.312641258	0
102	0.1923307667	0.3126123699	0
103	0.1925060178	0.3125918719	0
104	0.1925977666	0.3125729894	0
105	0.1926652222	0.3125649243	0
106	0.1928040327	0.3125480504	0
107	0.1928774382	0.3125240296	0
108	0.192923892	0.3125034713	0
109	0.1930206063	0.3124881672	0
110	0.1930756492	0.3124595781	0
111	0.1931169029	0.3124524646	0
112	0.1932151929	0.3124305171	0
113	0.1933593904	0.3124186216	0
114	0.1934331449	0.3123940902	0
115	0.1934899752	0.3123739413	0
116	0.1936213728	0.3123608317	0
117	0.1937253797	0.3123214774	0
118	0.193842003	0.3123103216	0
119	0.1938877264	0.3122715808	0
120	0.1939675511	0.3122468782	0
121	0.1940415404	0.3122308752	0
122	0.1940951163	0.3121990596	0
123	0.1942548381	0.3121834522	0
124	0.1943429289	0.3121760257	0
125	0.1945532483	0.3121548098	0
126	0.1946407444	0.3121333577	0
127	0.1947127512	0.3121148787	0
128	0.1947812936	0.3120680817	0
129	0.1948339629	0.3120539141	0
130	0.1949415745	0.3120423173	0
131	0.1950306246	0.3120271721	0
132	0.1952000996	0.3120108509	0
133	0.1952748116	0.3119910142	0
134	0.1953648437	0.3119797188	0
135	0.1954678187	0.3119703356	0
136	0.1955571842	0.3119443598	0
137	0.1956821421	0.3119334511	0
138	0.1957343214	0.311921425	1.523303497e-06
139	0.1957966639	0.3119002699	1.523303497e-06
140	0.1958949583	0.3118833665	1.523303497e-06
141	0.1960142998	0.3118562909	1.523303497e-06
142	0.1960682141	0.3118477639	1.523303497e-06
143	0.1961647727	0.3118314863	1.523303497e-06
144	0.1962511887	0.3118232464	1.523303497e-06
145	0.1963012795	0.3117915624	1.523303497e-06
146	0.1965893823	0.3117754923	1.523303497e-06
147	0.1966210354	0.3117572031	1.523303497e-06
148	0.1968014046	0.3117465643	1.523303497e-06
149	0.1968826986	0.3117180335	1.523303497e-06
150	0.1969999303	0.3117076663	1.523303497e-06
151	0.197158821	0.3116965463	1.523303497e-06
152	0.1972105057	0.3116847579	1.523303497e-06
153	0.197326712	0.3116766534	3.046606994e-06
154	0.1974016008	0.3116690287	3.046606994e-06
155	0.1975159574	0.3116378671	3.046606994e-06
156	0.19764608	0.3116297973	3.046606994e-06
157	0.1977245646	0.3116201436	3.046606994e-06
158	0.197780752	0.3116071298	3.046606994e-06
159	0.1978190203	0.3115897107	3.046606994e-06
160	0.1978550927	0.3115801212	3.046606994e-06
161	0.1978910295	0.3115738619	3.046606994e-06
162	0.1979622924	0.3115672721	3.046606994e-06
163	0.1981447197	0.3115564302	3.046606994e-06
164	0.1982263594	0.3115469869	3.046606994e-06
165	0.1982861187	0.311538541	3.046606994e-06
166	0.1983077052	0.3115335359	3.046606994e-06
167	0.1983989386	0.3115265663	4.569910491e-06
168	0.1984916295	0.3115195422	4.569910491e-06
169	0.1985414968	0.3115150704	6.093213988e-06
170	0.1986133481	0.3115086733	9.139820981e-06
171	0.1986730435	0.3114879362	9.139820981e-06
172	0.198735604	0.3114639747	9.139820981e-06
173	0.1987684072	0.3114590532	9.139820981e-06
174	0.1988453848	0.3114433383	1.066312448e-05
175	0.1989636641	0.311423688	1.066312448e-05
176	0.1990101879	0.3114187132	1.218642798e-05
177	0.1990585427	0.3114062814	1.218642798e-05
178	0.1991490052	0.3113922121	1.218642798e-05
179	0.1991761553	0.3113734755	1.218642798e-05
180	0.1992498379	0.3113628018	1.218642798e-05
181	0.1993062359	0.3113455869	1.218642798e-05
182	0.1994375803	0.3113378636	1.523303497e-05
183	0.1994675431	0.3113339464	1.523303497e-05
184	0.1995320329	0.3113146128	1.523303497e-05
185	0.1996942188	0.3113036071	1.523303497e-05
186	0.1997778837	0.3112959404	1.523303497e-05
187	0.1998280217	0.3112841647	1.523303497e-05
188	0.1999196972	0.3112767305	1.675633847e-05
189	0.1999439318	0.3112719376	1.675633847e-05
190	0.2000168742	0.311264521	1.675633847e-05
191	0.2001064773	0.3112576165	2.132624896e-05
192	0.2001560341	0.3112390355	2.132624896e-05
193	0.2002030805	0.3112250166	2.132624896e-05
194	0.2002607665	0.3112202558	2.132624896e-05
195	0.2003054237	0.3112089135	2.132624896e-05
196	0.2005225063	0.3111904971	2.132624896e-05
197	0.2006670019	0.3111792369	2.741946294e-05
198	0.2008208971	0.3111647244	2.894276644e-05
199	0.2009411082	0.3111565731	3.046606994e-05
200	0.2010832372	0.3111456813	3.655928393e-05
201	0.2011448812	0.3111392907	3.808258742e-05
202	0.2012041357	0.3111329411	3.960589092e-05
203	0.2013899946	0.3111172633	4.112919442e-05
204	0.2014959432	0.311093731	4.112919442e-05
205	0.2015500004	0.3110773743	3.960589092e-05
206	0.2016498988	0.311069598	4.112919442e-05
207	0.2017268751	0.3110614909	3.960589092e-05
208	0.2018182287	0.3110516635	3.960589092e-05
209	0.2018498541	0.3110260018	3.960589092e-05
210	0.2019806768	0.3110167024	4.112919442e-05
211	0.2020624909	0.3110094722	3.960589092e-05
212	0.2021689448	0.3109994538	4.112919442e-05
213	0.2022973836	0.3109835142	3.960589092e-05
214	0.2024908948	0.310968548	3.960589092e-05
215	0.202597819	0.3109544096	3.960589092e-05
216	0.2027638707	0.3109402819	4.112919442e-05
217	0.2029032919	0.3109262557	4.112919442e-05
218	0.2030698994	0.310914087	4.265249791e-05
219	0.203248432	0.3109000971	4.265249791e-05
220	0.2034025827	0.3108880718	4.265249791e-05
221	0.2034573209	0.3108829859	4.569910491e-05
222	0.2035815456	0.3108700966	4.417580141e-05
223	0.20364145	0.3108653602	4.417580141e-05
224	0.2037568375	0.3108538275	4.417580141e-05
225	0.2038100276	0.3108370939	4.417580141e-05
226	0.2039571105	0.3108180373	4.417580141e-05
227	0.2040106066	0.3108101065	4.87457119e-05
228	0.2041228072	0.3108023406	4.87457119e-05
229	0.2041615819	0.3107860022	4.87457119e-05
230	0.2042631057	0.3107774248	4.72224084e-05
231	0.2043089475	0.3107683361	4.87457119e-05
232	0.2043607198	0.3107161826	4.87457119e-05
233	0.2044560436	0.3107059881	4.87457119e-05
234	0.2045453392	0.3106914896	4.87457119e-05
235	0.2046037174	0.3106830659	4.87457119e-05
236	0.2047019106	0.3106747516	5.02690154e-05
237	0.2048085738	0.310665097	5.179231889e-05
238	0.2048556251	0.3106540288	5.483892589e-05
239	0.2049687314	0.3106446791	5.636222939e-05
240	0.2050024555	0.3106405577	5.636222939e-05
241	0.2050588553	0.3106115312	5.636222939e-05
242	0.2052739056	0.3105965068	5.788553288e-05
243	0.2053121194	0.3105893072	5.788553288e-05
244	0.2053823993	0.3105792618	5.940883638e-05
245	0.205499916	0.3105695901	6.397874687e-05
246	0.2055775488	0.3105640545	7.007196086e-05
247	0.2056555877	0.3105449535	7.159526435e-05
248	0.2056728033	0.3105266655	7.159526435e-05
249	0.20573284	0.3105206777	7.159526435e-05
250	0.2058386903	0.3105135034	8.073508534e-05
251	0.2059448653	0.3105018347	8.073508534e-05
252	0.2060772227	0.3104932783	8.378169233e-05
253	0.206150519	0.3104805795	8.378169233e-05
254	0.2062408273	0.3104726039	8.378169233e-05
255	0.2063933779	0.31046296	8.835160282e-05
256	0.2064910089	0.3104545593	8.987490632e-05
257	0.2065569497	0.3104471901	8.987490632e-05
258	0.2067349926	0.3104335544	9.139820981e-05
259	0.2067466066	0.3104302283	9.292151331e-05
260	0.2068213029	0.3104075998	9.444481681e-05
261	0.2068997963	0.3104011271	9.444481681e-05
262	0.2069864571	0.3103867146	9.292151331e-05
263	0.2071708787	0.3103745067	9.292151331e-05
264	0.2072199059	0.3103684441	9.59681203e-05
265	0.2072591532	0.3103611494	9.74914238e-05
266	0.2073729275	0.3103512545	9.74914238e-05
267	0.207432229	0.3103458121	9.74914238e-05
268	0.207490699	0.3103351649	9.74914238e-05
269	0.2075841774	0.3103298758	9.90147273e-05
270	0.2076484462	0.3103225814	0.0001005380308
271	0.2077071018	0.3103079376	9.90147273e-05
272	0.2077904328	0.3102976472	0.0001142477623
273	0.2078819709	0.3102834271	0.0001157710658
274	0.2079288526	0.3102734593	0.0001172943693
275	0.2079991462	0.3102671623	0.0001233875832
276	0.2080721812	0.3102612561	0.0001279574937
277	0.2081265394	0.3102562881	0.0001294807972
278	0.2081509772	0.3102400272	0.0001294807972
279	0.2082759952	0.3102282206	0.0001294807972
280	0.2083605941	0.3102204422	0.0001386206182
281	0.2084418768	0.3102148015	0.0001431905287
282	0.2086271923	0.3102037932	0.0001508070462
283	0.2086735651	0.3101984081	0.0001523303497
284	0.2087090642	0.3101896864	0.0001523303497
285	0.2088706484	0.3101776701	0.0001629934742
286	0.2089425193	0.3101681606	0.0001629934742
287	0.2090229432	0.3101529255	0.0001645167777
288	0.2091213837	0.3101438321	0.0001706099917
289	0.2091768856	0.3101367432	0.0001751799021
290	0.2092418866	0.3101309259	0.0001721332951
291	0.2092939132	0.3101251859	0.0001736565986
292	0.2093686779	0.3101141998	0.0001767032056
293	0.209546375	0.3101046153	0.0001827964196
294	0.2095888805	0.310084272	0.0001827964196
295	0.2096192418	0.3100738085	0.0001858430266
296	0.2096562659	0.3100690004	0.0001858430266
297	0.2097200399	0.310061621	0.0001888896336
298	0.2097477837	0.3100579204	0.0001888896336
299	0.2097876048	0.3100435995	0.0001904129371
300	0.2098899642	0.3100355653	0.0001919362406
301	0.2099568605	0.3100248829	0.0001888896336
302	0.2100094352	0.3100207626	0.0001934595441
303	0.2100818099	0.3100147104	0.0001980294546
304	0.2101157259	0.3100101353	0.0002010760616
305	0.2103161028	0.3099953392	0.0001995527581
306	0.2103773242	0.3099835878	0.0001995527581
307	0.2104724914	0.3099746734	0.0002010760616
308	0.2105669369	0.3099674051	0.0002086925791
309	0.2106688363	0.3099586025	0.0002102158826
310	0.2107465912	0.3099508459	0.0002086925791
311	0.210849492	0.3099412811	0.0002163090966
312	0.2109180763	0.3099256282	0.0002163090966
313	0.2109444682	0.3099138195	0.0002163090966
314	0.2110744028	0.3098907403	0.0002163090966
315	0.211090725	0.3098872711	0.0002163090966
316	0.2111646353	0.3098808025	0.000220879007
317	0.2112420571	0.3098735852	0.0002224023105
318	0.2113763589	0.3098643526	0.0002224023105
319	0.2114604886	0.3098524984	0.000223925614
