iter	Passed	Remaining
0	309	92491
1	506	75444
2	734	72667
3	967	71608
4	1224	72236
5	1475	72315
6	1729	72407
7	1979	72242
8	2229	72074
9	2479	71909
10	2735	71880
11	2988	71715
12	3235	71430
13	3485	71210
14	3738	71034
15	3980	70656
16	4238	70566
17	4490	70345
18	4744	70171
19	4990	69870
20	5240	69619
21	5488	69353
22	5736	69087
23	5992	68918
24	6240	68646
25	6488	68374
26	6735	68105
27	6986	67873
28	7240	67665
29	7494	67449
30	7745	67208
31	8004	67033
32	8257	66810
33	8512	66600
34	8768	66391
35	9018	66137
36	9268	65878
37	9517	65622
38	9774	65414
39	10030	65197
40	10282	64952
41	10538	64735
42	10800	64553
43	11050	64294
44	11304	64058
45	11558	63820
46	11811	63583
47	12069	63363
48	12326	63140
49	12575	62879
50	12827	62630
51	13093	62447
52	13346	62198
53	13599	61952
54	13852	61707
55	14111	61485
56	14368	61256
57	14624	61020
58	14878	60775
59	15133	60535
60	15387	60290
61	15643	60049
62	15900	59817
63	16157	59581
64	16409	59328
65	16659	59063
66	16909	58805
67	17161	58550
68	17420	58320
69	17673	58070
70	17926	57819
71	18181	57575
72	18441	57344
73	18701	57114
74	18954	56863
75	19203	56598
76	19459	56356
77	19717	56118
78	19969	55864
79	20215	55591
80	20469	55344
81	20739	55136
82	20995	54892
83	21253	54652
84	21503	54392
85	21756	54138
86	22018	53907
87	22263	53633
88	22518	53387
89	22773	53137
90	23027	52886
91	23283	52641
92	23534	52383
93	23787	52130
94	24042	51882
95	24296	51630
96	24544	51367
97	24799	51116
98	25045	50848
99	25303	50606
100	25556	50354
101	25808	50098
102	26060	49843
103	26316	49596
104	26571	49346
105	26828	49101
106	27092	48867
107	27347	48617
108	27599	48362
109	27851	48106
110	28109	47862
111	28357	47599
112	28613	47350
113	28861	47089
114	29120	46846
115	29372	46590
116	29620	46330
117	29865	46063
118	30116	45807
119	30373	45559
120	30622	45301
121	30877	45051
122	31143	44816
123	31389	44553
124	31635	44289
125	31878	44022
126	32151	43797
127	32404	43543
128	32655	43288
129	32904	43028
130	33153	42770
131	33405	42515
132	33650	42253
133	33905	42001
134	34158	41749
135	34406	41489
136	34652	41228
137	34909	40980
138	35159	40724
139	35405	40462
140	35662	40215
141	35914	39961
142	36164	39705
143	36443	39480
144	36691	39222
145	36941	38965
146	37187	38705
147	37436	38448
148	37689	38195
149	37939	37939
150	38187	37681
151	38445	37434
152	38698	37181
153	38952	36928
154	39199	36670
155	39465	36429
156	39714	36173
157	39966	35919
158	40220	35667
159	40470	35411
160	40735	35168
161	40987	34915
162	41235	34658
163	41485	34402
164	41737	34148
165	41988	33894
166	42232	33634
167	42480	33377
168	42728	33121
169	42981	32868
170	43230	32612
171	43479	32357
172	43733	32105
173	43993	31857
174	44247	31605
175	44495	31348
176	44757	31102
177	45005	30846
178	45258	30593
179	45507	30338
180	45761	30085
181	46024	29840
182	46276	29586
183	46528	29333
184	46780	29079
185	47026	28822
186	47274	28567
187	47525	28313
188	47775	28058
189	48029	27806
190	48282	27553
191	48533	27300
192	48789	27048
193	49045	26798
194	49296	26544
195	49546	26290
196	49798	26036
197	50052	25784
198	50298	25528
199	50550	25275
200	50801	25021
201	51062	24772
202	51312	24518
203	51566	24266
204	51823	24015
205	52086	23767
206	52334	23512
207	52586	23259
208	52835	23005
209	53095	22755
210	53348	22502
211	53602	22249
212	53854	21996
213	54113	21746
214	54362	21492
215	54609	21237
216	54857	20982
217	55115	20731
218	55363	20477
219	55614	20223
220	55870	19971
221	56130	19721
222	56393	19472
223	56645	19219
224	56895	18965
225	57151	18713
226	57399	18458
227	57645	18203
228	57898	17951
229	58152	17698
230	58401	17444
231	58654	17191
232	58898	16936
233	59150	16683
234	59402	16430
235	59650	16176
236	59897	15921
237	60144	15667
238	60401	15416
239	60650	15162
240	60902	14909
241	61162	14658
242	61410	14404
243	61663	14152
244	61908	13897
245	62161	13645
246	62412	13392
247	62663	13139
248	62917	12886
249	63171	12634
250	63422	12381
251	63667	12127
252	63924	11875
253	64178	11622
254	64429	11369
255	64692	11118
256	64944	10866
257	65192	10612
258	65440	10359
259	65687	10105
260	65934	9852
261	66185	9599
262	66433	9346
263	66687	9093
264	66937	8840
265	67189	8588
266	67434	8334
267	67685	8081
268	67937	7829
269	68182	7575
270	68434	7323
271	68681	7070
272	68931	6817
273	69176	6564
274	69425	6311
275	69673	6058
276	69925	5806
277	70172	5553
278	70419	5300
279	70668	5047
280	70918	4795
281	71168	4542
282	71415	4289
283	71664	4037
284	71910	3784
285	72160	3532
286	72408	3279
287	72655	3027
288	72908	2775
289	73159	2522
290	73407	2270
291	73654	2017
292	73901	1765
293	74155	1513
294	74405	1261
295	74662	1008
296	74909	756
297	75154	504
298	75403	252
299	75654	0
