iter	Passed	Remaining
0	1277	254221
1	2069	204851
2	3301	216814
3	4069	199428
4	4756	185485
5	5349	172962
6	5941	163821
7	7254	174097
8	8484	180059
9	9676	183855
10	10864	186676
11	12113	189781
12	13299	191309
13	14540	193180
14	15597	192371
15	16439	189052
16	16821	181076
17	18038	182388
18	18545	176672
19	19720	177487
20	21006	179056
21	22225	179825
22	23508	180913
23	24722	181301
24	25870	181092
25	26999	180686
26	28185	180596
27	29358	180344
28	30534	180047
29	31762	179989
30	33020	180017
31	34196	179531
32	35367	178979
33	36396	177700
34	37616	177336
35	38759	176572
36	39952	176007
37	41198	175633
