X,Y,class
7.00E-01,-2.47E-01,0.00E+00
-3.95E+00,2.74E+00,1.00E+00
1.50E-01,-2.16E+00,1.00E+00
-1.67E+00,-9.42E-01,1.00E+00
2.56E+00,-1.85E+00,1.00E+00
-1.72E+00,3.46E+00,1.00E+00
1.90E-01,1.70E+00,1.00E+00
-3.34E-01,1.03E+00,0.00E+00
3.10E+00,-2.68E+00,1.00E+00
-1.24E+00,-1.23E+00,1.00E+00
-3.79E-01,7.50E-01,0.00E+00
2.92E+00,-2.08E+00,1.00E+00
-2.67E-03,-1.98E+00,1.00E+00
7.49E-01,1.95E-01,0.00E+00
1.60E+00,-1.56E+00,1.00E+00
4.96E-01,-1.86E+00,1.00E+00
2.07E+00,-2.91E+00,1.00E+00
-1.03E+00,-1.23E+00,1.00E+00
-1.06E+00,2.39E+00,1.00E+00
-1.56E+00,1.62E+00,1.00E+00
-1.45E+00,1.12E+00,1.00E+00
8.59E-02,2.99E-01,0.00E+00
1.72E-01,1.60E+00,1.00E+00
3.52E-01,-4.20E-01,0.00E+00
4.25E-01,-4.98E-01,0.00E+00
8.78E-01,1.35E+00,1.00E+00
1.89E-02,-9.82E-01,0.00E+00
-9.15E-01,1.27E+00,0.00E+00
1.20E+00,-1.22E+00,1.00E+00
2.47E+00,-1.08E+00,1.00E+00
5.18E-01,-1.48E+00,0.00E+00
1.60E+00,2.15E+00,1.00E+00
-4.33E-01,1.17E+00,0.00E+00
9.35E-01,2.53E+00,1.00E+00
1.64E+00,5.23E-01,1.00E+00
1.19E+00,1.32E+00,1.00E+00
-1.32E+00,-7.54E-01,0.00E+00
-2.18E+00,-6.33E-01,1.00E+00
7.25E-01,-4.22E-01,0.00E+00
7.28E-01,-3.94E+00,1.00E+00
-2.64E-01,-8.04E-02,0.00E+00
-4.62E-01,-1.90E+00,1.00E+00
-1.94E+00,4.46E-01,1.00E+00
-1.56E-01,1.21E-02,0.00E+00
-2.76E-01,1.14E+00,0.00E+00
-6.35E-01,-9.51E-01,0.00E+00
6.52E-01,-1.66E+00,1.00E+00
1.22E+00,-3.25E+00,1.00E+00
3.25E-01,1.08E+00,0.00E+00
-2.48E+00,1.01E+00,1.00E+00
-1.93E-01,-1.68E-01,0.00E+00
2.64E-01,5.80E-01,0.00E+00
-7.88E-01,1.33E+00,0.00E+00
-7.31E-01,-1.41E+00,1.00E+00
-2.71E-01,-1.26E+00,0.00E+00
-5.47E-02,-2.29E+00,1.00E+00
-1.58E+00,2.77E+00,1.00E+00
8.75E-01,-6.27E-01,0.00E+00
4.46E-01,-2.86E+00,1.00E+00
1.39E+00,3.02E-01,0.00E+00
-2.02E+00,2.50E+00,1.00E+00
1.96E+00,-9.35E-01,1.00E+00
-1.62E+00,-4.94E-01,1.00E+00
-1.22E+00,9.54E-01,0.00E+00
8.27E-01,4.59E-01,0.00E+00
5.90E-01,1.11E+00,0.00E+00
1.23E+00,1.06E+00,1.00E+00
-3.14E-01,-2.84E-01,0.00E+00
-2.63E+00,1.75E+00,1.00E+00
1.05E+00,-1.35E+00,1.00E+00
2.30E+00,-8.65E-01,1.00E+00
-5.67E-01,1.17E+00,0.00E+00
-1.70E+00,1.22E+00,1.00E+00
-2.64E-01,-1.44E-01,0.00E+00
3.58E+00,-3.52E-01,1.00E+00
-9.92E-01,-7.60E-01,0.00E+00
2.59E+00,7.98E-01,1.00E+00
-1.41E+00,-1.51E-01,0.00E+00
-3.76E-01,4.61E-02,0.00E+00
1.58E+00,-8.29E-01,1.00E+00
-1.58E+00,3.32E-01,1.00E+00
