iter	Logloss
0	0.6585225283
1	0.6268981724
2	0.5928587752
3	0.5650765959
4	0.542248616
5	0.5180756898
6	0.4967701261
7	0.4783630823
8	0.461554883
9	0.4527304126
10	0.4445957758
11	0.430063321
12	0.4153700585
13	0.4046505807
14	0.3953227454
15	0.3908375358
16	0.3866243248
17	0.378090672
18	0.3711806584
19	0.3646096863
20	0.3584748512
21	0.3554835213
22	0.3505201497
23	0.3477029772
24	0.3455234667
25	0.3422988194
26	0.3365497161
27	0.3347703309
28	0.3330351385
29	0.3305811792
30	0.3286837182
31	0.3250184322
32	0.3237565164
33	0.322638187
34	0.3193653661
35	0.3183792385
36	0.3151511474
37	0.3139262169
38	0.3116289727
39	0.3094168403
40	0.3069044705
41	0.3047599744
42	0.3040287744
43	0.3022779976
44	0.3013943809
45	0.3007809918
46	0.3000641491
47	0.2985775472
48	0.2978910244
49	0.2973737455
50	0.2968818132
51	0.2951691634
52	0.2948828374
53	0.2943765237
54	0.2930181392
55	0.2916880822
56	0.2906683928
57	0.2896242736
58	0.288494221
59	0.287707952
60	0.2868346725
61	0.2860450326
62	0.28574074
63	0.2853849586
64	0.2845547243
65	0.2844470211
66	0.2840826065
67	0.2834499136
68	0.283175014
69	0.2828730596
70	0.2827844877
71	0.2827101789
72	0.2826015053
73	0.2825346101
74	0.2823498706
75	0.2820365107
76	0.2814831871
77	0.2809870367
78	0.2808234297
79	0.280778335
80	0.280184405
81	0.2801068068
82	0.2795456386
83	0.2794421578
84	0.2789417248
85	0.2787238748
86	0.2784952815
87	0.2780867261
88	0.2777988337
89	0.2777286574
90	0.2773466469
91	0.2770765226
92	0.2769360915
93	0.2769186414
94	0.2767502817
95	0.2763407375
96	0.2760284737
97	0.2757378032
98	0.2754462911
99	0.2753161481
100	0.2751371227
101	0.2748929919
102	0.2747682322
103	0.2744601435
104	0.2743668082
105	0.2740591588
106	0.2739195412
107	0.2736227321
108	0.2733823869
109	0.2731155355
110	0.2729267808
111	0.2727027561
112	0.2725770381
113	0.2723499749
114	0.2720769925
115	0.2718805985
116	0.2716641372
117	0.2715548953
118	0.2714465739
119	0.2713569556
120	0.2712261748
121	0.2710854745
122	0.2709957051
123	0.2708227748
124	0.270737327
125	0.270550622
126	0.2704840482
127	0.2702957023
128	0.2701294679
129	0.2699887434
130	0.2697327038
131	0.2695602125
132	0.2694034398
133	0.2691846449
134	0.2691547662
135	0.2689785249
136	0.2688351675
137	0.268610316
138	0.2684510945
139	0.2683669719
140	0.2682466295
141	0.2680921084
142	0.2679830643
143	0.2677868096
144	0.2676412794
145	0.2675578856
146	0.2673445432
147	0.2672113129
148	0.2671776514
149	0.2670563971
150	0.2669612811
151	0.2667690181
152	0.2665741585
153	0.2664805922
154	0.2663499666
155	0.2662112708
156	0.266133083
157	0.2660040851
158	0.2659129189
159	0.2657475775
160	0.265720553
161	0.2656514208
162	0.2655978662
163	0.2654579367
164	0.2653359088
165	0.2651182341
166	0.2650200772
167	0.2648822102
168	0.2647958149
169	0.2646260631
170	0.2645267438
171	0.264435153
172	0.2643087694
173	0.2641748439
174	0.2641736472
175	0.2640844941
176	0.2639923674
177	0.2639437183
178	0.263904511
179	0.2638877443
180	0.2637618757
181	0.2637408661
182	0.2636648401
183	0.263481938
184	0.2634144059
185	0.2634143346
186	0.2633289073
187	0.2632162116
188	0.2630554187
189	0.2629508497
190	0.2628770489
191	0.2628288984
192	0.262701051
193	0.2625569543
194	0.2625240123
195	0.2624443444
196	0.2623629753
197	0.2622701982
198	0.2620649684
199	0.261938697
200	0.2618702355
201	0.2617918615
202	0.2617038289
203	0.2614773658
204	0.2613505899
205	0.2613271936
206	0.2612397653
207	0.2611480768
208	0.2611292789
209	0.2610485629
210	0.2609581876
211	0.2608594496
212	0.2607245392
213	0.2606491103
214	0.2605990232
215	0.2605963053
216	0.260562908
217	0.2605304597
218	0.2605240481
219	0.260471805
220	0.2604199417
221	0.2603158653
222	0.2602840777
223	0.2602839578
224	0.2601546511
225	0.2601512852
226	0.260024188
227	0.2599223196
228	0.2598627579
229	0.2598323369
230	0.2597324492
231	0.2596275929
232	0.2595127288
233	0.2594205967
234	0.2593529146
235	0.2592977
236	0.2592189795
237	0.2591017522
238	0.2589887071
239	0.2589329293
240	0.2587932914
241	0.2587692751
242	0.2586754279
243	0.2586233428
244	0.2585702144
245	0.2585176797
246	0.2585175607
247	0.2584264576
248	0.2582909144
249	0.2581473119
250	0.2581071669
251	0.2579552652
252	0.2578660651
253	0.2578403905
254	0.2576976282
255	0.2575799983
256	0.2574807912
257	0.2574806477
258	0.2573692551
259	0.2572994217
260	0.2571502844
261	0.2570704246
262	0.2569542031
263	0.2568914951
264	0.2568046003
265	0.2568044569
266	0.2566488493
267	0.2566473543
268	0.2566228301
269	0.25650498
270	0.2564203611
271	0.2563500041
272	0.2562957979
273	0.2562177463
274	0.2560892169
275	0.2560642557
276	0.2559623549
277	0.2558483727
278	0.2557673366
279	0.2557671953
280	0.2557333523
281	0.2556280423
282	0.2555415846
283	0.2554396881
284	0.2553574984
285	0.2552695194
286	0.2551546451
287	0.2550304625
288	0.2549138036
289	0.2548602733
290	0.2548092051
291	0.2547078533
292	0.2546395787
293	0.2545738153
294	0.2545617893
295	0.2544932092
296	0.2543263971
297	0.2543021163
298	0.2541597946
299	0.2540939305
300	0.2540677528
301	0.2539877265
302	0.2539375354
303	0.2538770277
304	0.2537854219
305	0.253710829
306	0.2536311595
307	0.2534868279
308	0.2534172179
309	0.2534126307
310	0.253352252
311	0.253280829
312	0.2532183015
313	0.2531060222
314	0.2530749624
315	0.2529926847
316	0.2529286973
317	0.2528289051
318	0.2527242246
319	0.2526216652
320	0.2526132832
321	0.2525581733
322	0.2523995
323	0.2523416846
324	0.2522911303
325	0.2521792321
326	0.2521001358
327	0.2520093417
328	0.2519177919
329	0.251815793
330	0.2517505788
331	0.2516526018
332	0.2516208554
333	0.2515154034
334	0.2514443431
335	0.2513889573
336	0.2513009955
337	0.2512375231
338	0.2511954032
339	0.2511490777
340	0.2510522094
341	0.2510393226
342	0.2509052798
343	0.2508328236
344	0.2507741342
345	0.2506244439
346	0.2505139506
347	0.2504248757
348	0.2503641274
349	0.2502891507
350	0.2502248077
351	0.2500342708
352	0.2499543103
353	0.2498959035
354	0.2498509766
355	0.2497435104
356	0.2497434013
357	0.2496650362
358	0.2495788411
359	0.2494570033
360	0.2494108687
361	0.249325516
362	0.2491832542
363	0.2491138216
364	0.2490237222
365	0.2488897307
366	0.2488846856
367	0.2486902288
368	0.2486358208
369	0.2485293882
370	0.2484662851
371	0.248399764
372	0.2482916807
373	0.248211419
374	0.248100533
375	0.2480450148
376	0.2478828997
377	0.2478200674
378	0.2477186328
379	0.2476239278
380	0.2475471273
381	0.2474384264
382	0.2473868694
383	0.2473005897
384	0.247196922
385	0.2470587176
386	0.246996509
387	0.2469756892
388	0.2468819609
389	0.2468156767
390	0.2467265797
391	0.2466544641
392	0.2465632362
393	0.246496207
394	0.2464394061
395	0.246334083
396	0.2462113076
397	0.2461296655
398	0.245966068
399	0.2458706365
400	0.2458329029
401	0.2457497306
402	0.2456976715
403	0.2456618065
404	0.2455900257
405	0.2455338668
406	0.2454760145
407	0.2453345043
408	0.2452500815
409	0.2452009628
410	0.2451056759
411	0.245013963
412	0.2449076547
413	0.2447975829
414	0.2447482716
415	0.2446350782
416	0.244581726
417	0.244458369
418	0.2443640518
419	0.2442373203
420	0.2441723316
421	0.2441053559
422	0.2440045213
423	0.2438921102
424	0.2437964317
425	0.2437356675
426	0.2436281568
427	0.2435556427
428	0.2435196903
429	0.2434154059
430	0.2433258458
431	0.2432477861
432	0.2431763785
433	0.243092612
434	0.2429734434
435	0.2428188413
436	0.2427533232
437	0.2426995109
438	0.2426172176
439	0.2425292404
440	0.2424367902
441	0.2423728324
442	0.242248803
443	0.2421599834
444	0.242013291
445	0.2419422957
446	0.2418397834
447	0.2417711251
448	0.2416347857
449	0.2415560956
450	0.2414463138
451	0.2413167469
452	0.2412108911
453	0.2411455749
454	0.2410951169
455	0.241005141
456	0.2409781259
457	0.2408812415
458	0.2407582439
459	0.2406531592
460	0.2405692629
461	0.2403865626
462	0.2403104115
463	0.2402669745
464	0.2402025909
465	0.2401365745
466	0.2401094077
467	0.2400398313
