iter	Passed	Remaining
0	67	67559
1	72	36084
2	76	25349
3	81	20261
4	85	17106
5	90	15018
6	98	13944
7	103	12828
8	107	11887
9	113	11229
10	118	10679
11	125	10317
12	130	9916
13	135	9576
14	140	9254
15	145	8921
16	150	8685
17	154	8427
18	159	8211
19	163	8030
20	169	7882
21	174	7761
22	179	7630
23	184	7520
24	189	7401
25	195	7329
26	198	7170
27	204	7089
28	209	7012
29	213	6891
30	216	6762
31	221	6689
32	225	6600
33	227	6453
34	230	6361
35	234	6273
36	238	6213
37	244	6178
38	248	6119
39	252	6070
40	257	6025
41	261	5966
42	266	5933
43	271	5893
44	274	5832
45	279	5788
46	283	5756
47	288	5718
48	292	5668
49	296	5627
50	300	5590
51	305	5563
52	306	5482
53	311	5456
54	316	5435
55	320	5401
56	324	5365
57	328	5330
58	332	5301
59	336	5276
60	341	5252
61	345	5227
62	350	5207
63	354	5181
64	358	5153
65	360	5104
66	365	5084
67	369	5059
68	372	5026
69	378	5023
70	380	4976
71	382	4934
72	386	4911
73	389	4870
74	392	4841
75	396	4825
76	400	4803
77	405	4790
78	409	4779
79	412	4748
80	417	4737
81	421	4718
82	425	4700
83	430	4695
84	434	4682
85	439	4668
86	443	4658
87	448	4643
88	452	4632
89	455	4604
90	460	4602
91	464	4589
92	468	4572
93	470	4537
94	475	4526
95	479	4514
96	483	4500
97	487	4489
98	492	4478
99	496	4467
100	500	4457
101	504	4441
102	509	4436
103	512	4417
104	517	4410
105	521	4394
106	525	4384
107	529	4369
108	534	4365
109	537	4349
110	541	4340
111	545	4325
112	549	4313
113	553	4302
114	558	4295
115	561	4281
116	565	4266
117	568	4251
118	573	4244
119	577	4237
120	581	4226
121	585	4216
122	589	4202
123	593	4190
124	597	4181
125	602	4178
126	607	4176
127	611	4163
128	614	4149
129	619	4143
130	626	4154
131	631	4151
132	635	4141
133	639	4134
134	643	4121
135	647	4115
136	652	4107
137	655	4096
138	659	4085
139	664	4079
140	668	4071
141	672	4061
142	676	4052
143	679	4041
144	683	4032
145	687	4021
146	691	4014
147	696	4011
148	701	4007
149	705	4000
150	710	3992
151	714	3984
152	718	3978
153	722	3969
154	727	3963
155	730	3954
156	734	3944
157	738	3935
158	742	3927
159	746	3917
160	749	3907
161	754	3903
162	758	3895
163	762	3887
164	766	3881
165	771	3876
166	775	3869
167	779	3859
168	783	3851
169	787	3846
170	792	3840
171	795	3830
172	799	3820
173	804	3820
174	808	3812
175	812	3805
176	817	3798
177	820	3789
178	825	3786
179	827	3770
180	831	3762
181	834	3751
182	838	3745
183	842	3737
184	846	3727
185	847	3709
186	851	3702
187	857	3701
188	861	3695
189	865	3688
190	868	3678
191	873	3676
192	878	3674
193	882	3666
194	885	3657
195	891	3658
196	895	3648
197	898	3641
198	903	3635
199	907	3631
200	912	3626
201	916	3621
202	920	3615
203	924	3606
204	927	3597
205	930	3587
206	935	3582
207	938	3574
208	942	3568
209	947	3562
210	951	3556
211	955	3551
212	959	3545
213	963	3538
214	970	3543
215	973	3534
216	978	3529
217	981	3520
218	983	3508
219	988	3505
220	992	3497
221	996	3490
222	1000	3486
223	1002	3472
224	1007	3470
225	1010	3462
226	1013	3452
227	1017	3446
228	1021	3438
229	1023	3428
230	1028	3423
231	1032	3418
232	1037	3414
233	1041	3410
234	1045	3403
235	1049	3397
236	1053	3390
237	1057	3384
238	1061	3379
239	1065	3374
240	1070	3370
241	1073	3363
242	1078	3358
243	1082	3355
244	1087	3350
245	1091	3344
246	1092	3330
247	1096	3323
248	1100	3318
249	1103	3311
250	1107	3305
251	1111	3299
252	1117	3299
253	1121	3295
254	1125	3288
255	1129	3283
256	1134	3279
257	1136	3267
258	1140	3263
259	1145	3258
260	1149	3255
261	1153	3249
262	1159	3248
263	1164	3247
264	1169	3243
265	1171	3231
266	1174	3224
267	1176	3213
268	1181	3209
269	1186	3206
270	1190	3203
271	1193	3195
272	1198	3191
273	1202	3186
274	1208	3185
275	1212	3180
276	1217	3177
277	1225	3182
278	1232	3183
279	1234	3174
280	1238	3170
281	1242	3163
282	1247	3160
283	1252	3156
284	1256	3151
285	1260	3146
286	1265	3142
287	1269	3138
288	1273	3134
289	1278	3131
290	1282	3125
291	1286	3119
292	1291	3115
293	1296	3113
294	1299	3105
295	1303	3099
296	1307	3095
297	1313	3093
298	1317	3088
299	1322	3084
300	1326	3079
301	1330	3075
302	1335	3071
303	1339	3066
304	1343	3062
305	1347	3056
306	1351	3051
307	1355	3045
308	1359	3040
309	1362	3032
310	1366	3027
311	1370	3021
312	1373	3014
313	1377	3010
314	1381	3004
315	1385	2999
316	1400	3017
317	1405	3015
318	1410	3010
319	1413	3003
320	1415	2993
321	1418	2986
322	1423	2982
323	1427	2979
324	1431	2973
325	1435	2968
326	1440	2963
327	1444	2959
328	1449	2956
329	1453	2951
330	1458	2947
331	1462	2942
332	1466	2936
333	1469	2930
334	1473	2925
335	1478	2921
336	1482	2916
337	1486	2911
338	1490	2906
339	1494	2901
340	1497	2894
341	1501	2888
342	1506	2884
343	1510	2879
344	1513	2874
345	1518	2870
346	1522	2864
347	1527	2861
348	1532	2858
349	1536	2852
350	1540	2849
351	1544	2843
352	1548	2838
353	1552	2832
354	1556	2828
355	1560	2822
356	1562	2814
357	1566	2808
358	1570	2804
359	1574	2799
360	1578	2794
361	1582	2789
362	1586	2784
363	1591	2780
364	1595	2775
365	1600	2772
366	1603	2766
367	1608	2762
368	1612	2757
369	1616	2752
370	1621	2748
371	1625	2743
372	1629	2739
373	1632	2733
374	1637	2729
375	1641	2724
376	1645	2719
377	1651	2716
378	1655	2712
379	1660	2709
380	1664	2703
381	1668	2699
382	1673	2695
383	1677	2691
384	1681	2686
385	1686	2682
386	1690	2678
387	1695	2674
388	1700	2670
389	1704	2666
390	1708	2661
391	1713	2657
392	1717	2653
393	1722	2650
394	1727	2645
395	1732	2641
396	1736	2638
397	1741	2633
398	1745	2629
399	1749	2624
400	1754	2621
401	1758	2616
402	1763	2612
403	1767	2607
404	1771	2602
405	1775	2598
406	1779	2592
407	1784	2589
408	1788	2584
409	1791	2578
410	1796	2574
411	1801	2570
412	1805	2566
413	1808	2560
414	1813	2555
415	1817	2552
416	1821	2546
417	1825	2541
418	1829	2536
419	1833	2532
420	1837	2527
421	1841	2522
422	1845	2517
423	1849	2512
424	1853	2507
425	1858	2503
426	1861	2498
427	1866	2494
428	1869	2488
429	1873	2484
430	1877	2479
431	1882	2474
432	1886	2470
433	1891	2466
434	1895	2462
435	1900	2458
436	1905	2454
437	1909	2449
438	1913	2444
439	1917	2440
440	1921	2436
441	1925	2430
442	1928	2425
443	1932	2420
444	1936	2415
445	1941	2411
446	1944	2406
447	1950	2403
448	1954	2398
449	1958	2393
450	1963	2389
451	1967	2385
452	1971	2380
453	1976	2377
454	1982	2374
455	1986	2369
456	1990	2365
457	1996	2362
458	2000	2358
459	2005	2354
460	2008	2348
461	2012	2343
462	2016	2338
463	2020	2333
464	2024	2329
465	2029	2325
466	2032	2319
467	2036	2314
468	2040	2309
