iter	RMSE
0	1.020455341
1	1.009218307
2	0.9994140483
3	0.9910090834
4	0.9837944615
5	0.9775266197
6	0.97163939
7	0.9668690099
8	0.9623728559
9	0.9584833992
10	0.9547956446
11	0.9518524257
12	0.9489754289
13	0.9465777212
14	0.944651756
15	0.9427140651
16	0.9409174113
17	0.9391301808
18	0.9375359668
19	0.9363928075
20	0.9351349198
21	0.9341253762
22	0.9332289703
23	0.9321525646
24	0.93134504
25	0.9304092228
26	0.9295375034
27	0.9287205275
28	0.9280518424
29	0.9274760847
30	0.9269223528
31	0.9263252627
32	0.9255400089
33	0.9251033006
34	0.9243865039
35	0.923881909
36	0.9234806973
37	0.9230379641
38	0.9225372317
39	0.9222469879
40	0.9219261361
41	0.9216866773
42	0.9212830887
43	0.9208035961
44	0.9202946456
45	0.919971695
46	0.9197921344
47	0.919546552
48	0.9190503287
49	0.9187785953
50	0.918499155
51	0.9183398538
52	0.9181262304
53	0.9178213282
54	0.9176271751
55	0.9172057777
56	0.9171621953
57	0.9168893344
58	0.9164747388
59	0.9162037953
60	0.9160460914
61	0.9152711136
62	0.9150859054
63	0.9148848625
64	0.9147729172
65	0.9143669451
66	0.9138763851
67	0.9132980096
68	0.9131178741
69	0.9130520047
70	0.9128580268
71	0.9126144603
72	0.9124687083
73	0.9122934636
74	0.9119771755
75	0.911839118
76	0.9116050906
77	0.9114186484
78	0.9112609498
79	0.9108885383
80	0.9107578466
81	0.9105772005
82	0.9104630699
83	0.9102057277
84	0.9100540674
85	0.9099974853
86	0.9098601179
87	0.9096480258
88	0.9095073469
89	0.9094734984
90	0.9093820252
91	0.9092476771
92	0.9091871455
93	0.9089917429
94	0.9088690316
95	0.9086770232
96	0.9085805982
97	0.9085266654
98	0.9083876186
99	0.908120843
100	0.9079305779
101	0.9078671755
102	0.9077562656
103	0.907563417
104	0.907408404
105	0.9073100922
106	0.907226007
107	0.9070906024
108	0.9069800976
109	0.9068295604
110	0.9067822077
111	0.9066314579
112	0.9065942094
113	0.9062820744
114	0.9062355214
115	0.9060303639
116	0.9059617438
117	0.9059334353
118	0.9058470244
119	0.9057884981
120	0.905711937
121	0.9056237189
122	0.9055587368
123	0.905384775
124	0.9050897573
125	0.9050065665
126	0.9049011027
127	0.9048146539
128	0.9047160869
129	0.9043343529
130	0.9042800616
131	0.9041226704
132	0.9040784248
133	0.9039863273
134	0.9038971489
135	0.9037785335
136	0.9036419799
137	0.9036410501
138	0.9035438243
139	0.9034649613
140	0.9033809889
141	0.9033175242
142	0.9032493753
143	0.9030790086
144	0.9030023321
145	0.9028969575
146	0.9026071078
147	0.9024659608
148	0.9024319247
149	0.9022602909
150	0.9019455646
151	0.9018372848
152	0.9017760856
153	0.901636424
154	0.9015735544
155	0.9014581552
156	0.9013781668
157	0.9012438349
158	0.9011757563
159	0.9010282255
160	0.9007457987
161	0.900666759
162	0.9004909137
163	0.9003447071
164	0.9001857159
165	0.9001270999
166	0.9000851259
167	0.8999806048
168	0.8998491643
169	0.899716924
170	0.8996621454
171	0.8995515483
172	0.899445181
173	0.899361352
174	0.899254561
175	0.8991337617
176	0.8990472568
177	0.89896505
178	0.8988024275
179	0.8987079733
180	0.8986112797
181	0.8986104877
182	0.89856567
183	0.8985202653
184	0.8984377623
185	0.8983647383
186	0.8983128098
187	0.8982636794
188	0.8981678753
189	0.8981056702
190	0.8980393364
191	0.897908739
192	0.8978324336
193	0.8977467895
194	0.8976177474
195	0.8975701566
196	0.897511436
197	0.8974301633
198	0.8972896243
199	0.8972479812
200	0.8972243626
201	0.8971862773
202	0.8970807249
203	0.8970188912
204	0.8968704831
205	0.896763142
206	0.896685488
207	0.8966186073
208	0.8966164124
209	0.8965394082
210	0.8964465857
211	0.8963771846
212	0.8963117238
213	0.8962589364
214	0.896189702
215	0.8961408238
216	0.8959984257
217	0.8959495081
218	0.8958699793
219	0.8957891549
220	0.8956882188
221	0.895654999
222	0.8955962211
223	0.8955286697
224	0.89545819
225	0.8953414468
226	0.8952780496
227	0.8952770606
228	0.8952121967
229	0.8951344305
230	0.8950949066
231	0.8950171679
232	0.8949744915
233	0.894944899
234	0.8948962239
235	0.8948058236
236	0.894788825
237	0.8947248791
238	0.8946701145
239	0.8945839147
240	0.8945464028
