iter	Passed	Remaining
0	73	73643
1	84	42032
2	95	31793
3	107	26695
4	119	23702
5	129	21434
6	143	20405
7	153	19044
8	163	17994
9	173	17184
10	183	16516
11	193	15940
12	204	15518
13	213	15045
14	223	14703
15	232	14327
16	242	14012
17	252	13778
18	262	13543
19	274	13432
20	285	13289
21	294	13108
22	305	12980
23	316	12856
24	325	12700
25	335	12586
26	345	12454
27	356	12366
28	366	12267
29	374	12113
30	384	12015
31	395	11962
32	405	11877
33	419	11907
34	481	13279
35	515	13801
36	565	14718
37	606	15365
38	630	15533
39	646	15508
40	670	15687
41	740	16890
42	761	16956
43	776	16875
44	794	16867
45	805	16709
46	820	16637
47	842	16718
48	859	16682
49	873	16589
50	885	16483
51	896	16347
52	907	16219
53	923	16182
54	950	16336
55	1020	17206
56	1035	17131
57	1087	17669
58	1109	17691
59	1143	17915
60	1161	17885
61	1181	17869
62	1208	17972
63	1228	17972
64	1246	17934
65	1275	18044
66	1292	17992
67	1302	17854
68	1322	17839
69	1334	17723
70	1346	17614
71	1356	17486
72	1368	17384
73	1379	17259
74	1403	17307
75	1415	17211
76	1427	17115
77	1440	17028
78	1454	16959
79	1467	16874
80	1488	16887
81	1511	16924
82	1539	17004
83	1558	16997
84	1578	16992
85	1595	16952
86	1608	16880
87	1621	16809
88	1632	16710
89	1644	16624
90	1656	16546
91	1681	16591
92	1693	16517
93	1705	16442
94	1717	16363
95	1727	16263
96	1738	16179
97	1746	16079
98	1756	15988
99	1765	15893
100	1773	15789
101	1783	15698
102	1798	15665
103	1812	15617
104	1826	15571
105	1840	15518
106	1866	15581
107	1902	15712
108	1915	15656
109	1927	15594
110	1940	15544
111	1953	15486
112	1962	15408
113	1978	15375
114	1993	15342
115	2013	15345
116	2022	15266
117	2031	15182
118	2041	15110
119	2058	15094
120	2078	15098
121	2088	15030
122	2098	14965
123	2111	14919
124	2121	14852
125	2131	14783
126	2140	14715
127	2159	14709
128	2170	14657
129	2216	14835
130	2233	14814
131	2246	14771
132	2254	14698
133	2266	14645
134	2276	14588
135	2285	14522
136	2296	14464
137	2301	14373
138	2311	14317
139	2321	14260
140	2330	14198
141	2342	14155
142	2352	14098
143	2366	14065
144	2379	14030
145	2393	14000
146	2404	13952
147	2414	13902
148	2426	13857
149	2434	13797
150	2446	13755
151	2456	13701
152	2466	13652
153	2478	13616
154	2489	13570
155	2500	13529
156	2524	13556
157	2532	13497
158	2544	13460
159	2556	13423
160	2565	13369
161	2575	13322
162	2586	13283
163	2596	13235
164	2607	13194
165	2617	13152
166	2627	13106
167	2639	13069
168	2649	13030
169	2660	12990
170	2671	12952
171	2680	12905
172	2689	12856
173	2699	12816
174	2708	12769
175	2717	12721
176	2740	12742
177	2751	12706
178	2764	12677
179	2774	12638
180	2782	12592
181	2788	12533
182	2799	12498
183	2809	12457
184	2817	12410
185	2826	12370
186	2839	12345
187	2850	12313
188	2867	12305
189	2885	12302
190	2899	12280
191	2918	12283
192	2989	12499
193	3005	12487
194	3018	12462
195	3030	12431
196	3042	12399
197	3050	12356
198	3060	12318
199	3069	12276
200	3078	12238
201	3085	12189
202	3105	12190
203	3114	12152
204	3124	12118
205	3133	12079
206	3141	12035
207	3152	12004
208	3157	11951
209	3167	11917
210	3177	11880
211	3185	11841
212	3195	11805
213	3210	11790
214	3228	11788
215	3241	11767
216	3252	11736
217	3262	11701
218	3277	11687
219	3289	11661
220	3299	11629
221	3307	11591
222	3318	11563
223	3331	11540
224	3350	11539
225	3360	11510
226	3375	11493
227	3381	11449
228	3390	11415
229	3403	11393
230	3415	11369
231	3429	11353
232	3438	11320
233	3449	11292
234	3463	11274
235	3482	11275
236	3494	11249
237	3506	11225
238	3539	11270
239	3564	11288
240	3575	11262
241	3610	11310
242	3632	11317
243	3654	11322
244	3675	11326
245	3694	11323
246	3709	11310
247	3717	11271
248	3730	11251
249	3746	11238
250	3760	11220
251	3772	11197
252	3783	11170
253	3799	11159
254	3825	11177
255	3850	11191
256	3877	11211
257	3889	11185
258	3898	11154
259	3914	11141
260	3926	11118
261	3954	11138
262	3961	11102
263	3976	11086
264	3989	11065
265	4002	11045
266	4025	11052
267	4060	11089
268	4088	11111
269	4118	11135
270	4133	11117
271	4159	11132
272	4194	11169
273	4210	11155
274	4232	11157
275	4244	11133
276	4260	11121
277	4275	11105
278	4289	11086
279	4321	11113
280	4339	11103
281	4364	11113
282	4392	11129
283	4432	11174
284	4477	11233
285	4498	11230
286	4512	11211
287	4527	11193
288	4540	11170
289	4557	11157
290	4572	11140
291	4636	11243
292	4653	11228
293	4668	11210
294	4681	11188
295	4691	11157
296	4701	11129
297	4717	11112
298	4750	11137
299	4820	11247
300	4839	11238
301	4854	11219
302	4865	11193
303	4891	11199
304	4911	11191
305	4929	11180
306	4963	11204
307	4979	11188
308	4996	11172
309	5030	11196
310	5045	11177
311	5058	11154
312	5076	11142
313	5101	11144
314	5117	11129
315	5132	11110
316	5148	11093
317	5159	11065
318	5173	11044
319	5195	11041
320	5212	11025
321	5226	11004
322	5255	11015
323	5271	10998
324	5284	10974
325	5294	10945
326	5306	10920
327	5319	10899
328	5345	10903
329	5360	10883
330	5374	10863
331	5386	10837
332	5400	10817
333	5416	10801
334	5428	10776
335	5439	10749
336	5453	10728
337	5468	10709
338	5486	10697
339	5560	10793
340	5585	10793
341	5603	10781
342	5637	10799
343	5652	10779
344	5663	10752
345	5682	10740
346	5706	10737
347	5723	10723
348	5739	10706
349	5754	10686
350	5828	10777
351	5900	10861
352	5944	10894
353	5973	10900
354	6083	11052
355	6097	11031
356	6134	11048
357	6151	11030
358	6160	10999
359	6172	10973
360	6182	10943
361	6190	10910
362	6201	10882
363	6209	10849
364	6221	10823
365	6232	10796
366	6242	10766
367	6252	10737
368	6262	10708
369	6272	10679
370	6284	10654
