post_id,time,age,os
7159,2022-01-26 23:59:54,17,Android
7184,2022-01-26 23:56:30,17,Android
7265,2022-01-26 23:56:03,17,Android
7256,2022-01-26 23:55:24,17,Android
7080,2022-01-26 23:55:12,17,Android
7163,2022-01-26 23:54:36,20,iOS
7174,2022-01-26 23:54:29,20,iOS
7315,2022-01-26 23:54:28,20,iOS
7280,2022-01-26 23:54:19,22,Android
6943,2022-01-26 23:52:29,20,iOS
7242,2022-01-26 23:52:01,20,iOS
7192,2022-01-26 23:51:36,22,Android
7251,2022-01-26 23:50:50,22,Android
7184,2022-01-26 23:50:42,20,iOS
7168,2022-01-26 23:50:07,22,Android
7213,2022-01-26 23:49:01,41,iOS
7257,2022-01-26 23:49:00,36,iOS
7137,2022-01-26 23:48:48,41,iOS
7256,2022-01-26 23:48:45,36,iOS
7003,2022-01-26 23:48:40,36,iOS
7175,2022-01-26 23:48:39,36,iOS
7272,2022-01-26 23:48:17,36,iOS
7244,2022-01-26 23:47:04,41,iOS
7125,2022-01-26 23:45:58,36,iOS
7283,2022-01-26 23:45:00,41,iOS
7292,2022-01-26 23:44:56,29,Android
7259,2022-01-26 23:44:43,29,Android
6943,2022-01-26 23:44:43,53,iOS
7202,2022-01-26 23:44:41,29,Android
7264,2022-01-26 23:44:12,53,iOS
7208,2022-01-26 23:43:21,53,iOS
7174,2022-01-26 23:43:01,53,iOS
7260,2022-01-26 23:42:49,53,iOS
7285,2022-01-26 23:42:30,53,iOS
7204,2022-01-26 23:42:03,53,iOS
7157,2022-01-26 23:41:41,29,Android
7268,2022-01-26 23:41:14,53,iOS
7059,2022-01-26 23:41:02,29,Android
7256,2022-01-26 23:40:32,53,iOS
7226,2022-01-26 23:39:39,39,Android
7309,2022-01-26 23:39:38,21,Android
7159,2022-01-26 23:39:37,39,Android
7249,2022-01-26 23:39:29,21,Android
7003,2022-01-26 23:39:22,21,Android
7097,2022-01-26 23:39:05,39,Android
7274,2022-01-26 23:38:55,39,Android
7217,2022-01-26 23:38:51,21,Android
7003,2022-01-26 23:38:38,40,iOS
7303,2022-01-26 23:38:23,21,Android
7125,2022-01-26 23:38:12,45,Android
7299,2022-01-26 23:38:04,21,Android
7180,2022-01-26 23:37:51,32,Android
7306,2022-01-26 23:37:37,39,Android
7294,2022-01-26 23:37:29,21,Android
7254,2022-01-26 23:37:27,32,Android
7303,2022-01-26 23:37:25,45,Android
7159,2022-01-26 23:37:12,21,Android
7272,2022-01-26 23:36:47,39,Android
7080,2022-01-26 23:36:07,21,Android
7294,2022-01-26 23:35:44,32,Android
7244,2022-01-26 23:35:35,45,Android
7204,2022-01-26 23:34:44,16,iOS
6957,2022-01-26 23:33:56,16,iOS
7283,2022-01-26 23:33:11,16,iOS
7085,2022-01-26 23:32:10,16,iOS
7277,2022-01-26 23:31:17,16,iOS
7302,2022-01-26 23:30:05,16,iOS
7164,2022-01-26 23:21:48,73,iOS
7115,2022-01-26 23:21:08,73,iOS
7159,2022-01-26 23:20:37,73,iOS
7157,2022-01-26 23:14:57,39,Android
7198,2022-01-26 23:14:56,46,iOS
7185,2022-01-26 23:13:02,46,iOS
7164,2022-01-26 23:11:49,39,Android
7299,2022-01-26 23:10:50,46,iOS
7168,2022-01-26 23:10:30,46,iOS
7283,2022-01-26 23:10:24,39,Android
7251,2022-01-26 23:08:30,32,Android
7268,2022-01-26 22:59:46,22,Android
7157,2022-01-26 22:59:11,31,iOS
7317,2022-01-26 22:58:50,34,Android
7286,2022-01-26 22:58:06,34,Android
7292,2022-01-26 22:58:04,34,Android
7283,2022-01-26 22:57:49,22,Android
7283,2022-01-26 22:57:43,34,Android
7191,2022-01-26 22:56:26,31,iOS
7226,2022-01-26 22:56:19,22,Android
7059,2022-01-26 22:55:41,22,Android
7238,2022-01-26 22:55:25,34,Android
7272,2022-01-26 22:55:04,31,iOS
7294,2022-01-26 22:48:58,22,Android
7184,2022-01-26 22:45:23,22,Android
7087,2022-01-26 22:44:49,31,Android
7125,2022-01-26 22:44:01,31,Android
7272,2022-01-26 22:44:00,31,Android
7256,2022-01-26 22:43:54,31,Android
7316,2022-01-26 22:42:54,31,Android
7319,2022-01-26 22:39:35,36,iOS
7268,2022-01-26 22:39:04,36,iOS
7226,2022-01-26 22:35:11,36,iOS
